                          STARMAP DATA 


 Y      X    CLASS    MODIFIER

219    0       0         0         
218    132     0         0
217    40      0         2
216    86      0         7
216    135     0         1
216    181     0         0
215    41      0         7
215    109     0         7
215    117     0         7
214    29      0         7
214    96      0         7
214    108     0         0
214    155     0         7
214    213     0         1
213    71      0         3         
213    162     0         2
212    69      0         7
212    87      0         6
212    127     0         7
212    186     0         4
211    20      0         7
211    70      0         7
211    206     0         6
211    244     0         2
210    10      0         2
210    154     0         1
209    35      0         1
209    82      2         5
209    99      1         0  # 1
209    112     0         7
209    168     0         7
208    21      0         3
208    50      0         7
208    87      2         2
208    131     0         7
208    201     0         2
208    244     0         1
207    36      0         3
207    111     0         2
207    187     0         7  HOME WORLD STAR SYSTEM - NUMLOCKS
207    192     3         1
207    225     0         1
206    18      2         2
206    74      0         2
206    85      0         6
206    114     1         0  # 2
206    117     0         7
206    130     0         2
206    158     0         7
206    208     0         3
205    19      0         0
205    48      0         3
205    59      0         1
205    91      3         2
205    131     0         3
205    138     0         2
205    175     0         2
205    220     2         4
205    231     0         7
204    9       0         0
204    221     0         0
203    12      0         0
203    91      0         6
203    184     1         0  # 3
203    235     0         3
202    7       0         7
202    19      2         3
202    29      0         4
202    40      0         2
202    62      0         3
202    90      0         3
202    150     0         7
202    217     0         7
202    242     0         7
201    15      0         0
201    83      0         7
201    121     0         0
201    190     0         1
201    201     0         0
200    99      0         7
200    134     2         6        
200    221     2         3
200    245     0         4
199    8       0         3
199    50      0         2
199    77      2         3
199    78      0         0
199    147     0         3
199    164     0         3
199    231     0         7
198    17      2         3
198    19      1         0  # 4
198    138     0         7         
198    148     0         2
198    222     0         7
197    7       0         2  HOME WORLD SYSTEM - ULECK
197    86      0         6
197    147     0         7
197    209     0         2
196    11      3         2            
196    19      0         0
196    43      0         1
196    55      0         2
196    75      0         1
196    82      0         2
196    94      0         2
196    101     0         1
196    141     0         6
196    236     0         2
195    31      0         2
195    104     0         7
195    202     0         3
195    216     0         0
195    218     2         3
195    223     0         3
194    19      2         2
194    47      0         0
194    233     0         7         
194    241     0         2
193    78      2         7
193    87      0         7
193    173     0         7
193    180     0         7
193    193     0         2
193    229     1         1  # 5
193    245     0         7
192    82      0         6
192    151     0         7
192    168     0         7         
192    215     1         0  # 6
191    21      0         7
191    77      0         7
191    140     0         6
190    41      1         0  END #4
190    110     0         7
190    155     0         7
190    207     0         4
189    22      0         3
189    39      0         3
189    94      0         7
189    108     0         2
189    143     0         0
189    220     0         7
189    230     0         5
188    63      1         0  #7
188    77      0         5
